category,brand,model,att1,att2,att3,att4,att5,cluster
ساید بای ساید,LG,LG-SBS-GRJ257CLAV,24,,,4,5,-1
ساید بای ساید,SAM,SAM-SBS-ROSSO-3S,32,500,232,4,4,-1
ساید بای ساید,SAM,SAM-SBS-ROMANO-S,30,435,255,3,3,-1
ساید بای ساید,SAMSUNG,SAMSUNG-SBS-RS80,30,532,317,4,4,-1
ساید بای ساید,SNOWA,SNOWA-SBS-SN8-2034GW,32,440,244,5,4,-1
ساید بای ساید,X.VISION,X.VISION-SBS-HS550-ASD,28,,,5,5,-1
ساید بای ساید,DAEWOO,DAEWOO-SBS-DS-3020MW,29,440,244,4,3,0
ساید بای ساید,DAEWOO,DAEWOO-SBS-DS-3320MW,32,440,244,4,3,0
ساید بای ساید,GPLUS,GPLUS-SBS-GSS-P7535 S,28,332,175,4,4,1
ساید بای ساید,GPLUS,GPLUS-SBS-GSS-M7525BS,28,,,4,4,1
ساید بای ساید,SNOWA,SNOWA-SBS-SN8-2028GW,27,394,197,4,4,1
ساید بای ساید,TCL,TCL-SBS-S545,28,321,138,4,4,1
ساید بای ساید,LG,LG-SBS-GC-J257SMKC,24,424,250,4,4,2
ساید بای ساید,SAMSUNG,SAMSUNG-SBS-RH65,22,410,218,4,4,2
ساید بای ساید,PAKSHOMA,PAKSHOMA-SBS-P-340W,32,487,170,4,3,3
ساید بای ساید,PAKSHOMA,PAKSHOMA-SBS-P340,32,487,170,4,3,3
ماشین ظرفشویی,BOSCH,BOSCH-DW-SMS46NW01B,1,44,7,14,,-1
ماشین ظرفشویی,BOSCH,BOSCH-DW-SMS6ZCI49E,2,42,8,14,9,-1
ماشین ظرفشویی,SAM,SAM-DW-DW-192ST,1,,9,15,10,-1
ماشین ظرفشویی,SAMSUNG,SAMSUNG-DW-DW60M5070FS,4,,7,14,,-1
ماشین ظرفشویی,SNOWA,SNOWA-DW-SDW-A11S,2,,6,13,10,-1
ماشین ظرفشویی,X.VISION,X.VISION-DW-M140-S,2,44,8,14,10,-1
ماشین ظرفشویی,CANDY,CANDY-DW-PFC-315W,2,,8,15,,0
ماشین ظرفشویی,CANDY,CANDY-DW-PFC-315S,2,,8,15,,0
ماشین ظرفشویی,DAEWOO,DAEWOO-DW-DDW-2560,2,49,6,15,12,0
ماشین ظرفشویی,GPLUS,GPLUS-DW-GDW-P5673,2,49,6,15,11,0
ماشین ظرفشویی,HIMALIA,HIMALIA-DW-MDK16-BETA,2,49,6,15,,0
ماشین ظرفشویی,PAKSHOMA,PAKSHOMA-DW-15302,2,49,7,15,12,0
ماشین ظرفشویی,SAM,SAM-DW-DW-186S,2,,7,15,10,0
ماشین ظرفشویی,ZEROWATT,ZEROWATT-DW-FCD-3550,2,,,15,11,0
ماشین ظرفشویی,CORAL,CORAL-DW-DS1417,2,47,7,14,,1
ماشین ظرفشویی,EMERSUN,EMERSUN-DW-ED14-MI3,2,49,8,14,,1
ماشین ظرفشویی,GPLUS,GPLUS-DW-GDW-N1473,2,47,8,14,11,1
ماشین ظرفشویی,KENWOOD,KENWOOD-DW-KDW-3140,2,49,7,14,10,1
ماشین ظرفشویی,X.VISION,X.VISION-DW-M150-S,2,49,8,14,,1
ماشین ظرفشویی,ZEROWATT,ZEROWATT-DW-ZDM-3315S,2,49,8,14,10,1
ماشین ظرفشویی,DAEWOO,DAEWOO-DW-DW-200W,1,,7,14,,2
ماشین ظرفشویی,SNOWA,SNOWA-DW-SDW-A20W,1,48,7,14,,2
ماشین لباسشویی,EMERSUN,EMERSUN-WM-EMK03,2000,,,8,1400,-1
ماشین لباسشویی,GPLUS,GPLUS-WM-GWM-P870S,1,,6,8,1200,-1
ماشین لباسشویی,KENWOOD,KENWOOD-WM-KWM6841W,,,20,1,1400,-1
ماشین لباسشویی,SAMSUNG,SAMSUNG-WM-WW90T554DAN,4,,22,9,1400,-1
ماشین لباسشویی,TCL,TCL-WM_K112-AWI,1,,16,11,1200,-1
ماشین لباسشویی,ZEROWATT,ZEROWATT-WM-FCA4860W,1,1,21,8,1400,-1
ماشین لباسشویی,ABSAL,ABSAL-WM-REN7112,1,2,15,7,1200,0
ماشین لباسشویی,ABSAL,ABSAL-WM-WRE6310,3,2,,6,1000,0
ماشین لباسشویی,BEKO,BEKO-WM-WTV8736XS,1,2,16,8,1400,0
ماشین لباسشویی,BLANTON,BLANTON-WM-WM9403,1,2,,9,1400,0
ماشین لباسشویی,BLANTON,BLANTON-WM-WM8403,,,15,8,1400,0
ماشین لباسشویی,BOST,BOST-WM-BWD-7120,1,2,15,7,1000,0
ماشین لباسشویی,BOST,BOST-WM-BWD-7171N,3,2,,7,1000,0
ماشین لباسشویی,CANDY,CANDY-WM-PFC-946W,2,,16,9,1400,0
ماشین لباسشویی,DAEWOO,DAEWOO-WM- LM-720W,1,,15,7,1000,0
ماشین لباسشویی,DAEWOO,DAEWOO-WM-DWK-CH820C,1,2,,8,1200,0
ماشین لباسشویی,GENERAL HOUSE,GENERAL HOUSE-WM-GH8034,1,2,,8,1400,0
ماشین لباسشویی,HIMALIA,HIMALIA-WM-HWM-816,1,2,12,8,1400,0
ماشین لباسشویی,HIMALIA,HIMALIA-WM-HWM-816W,1,2,12,8,1400,0
ماشین لباسشویی,HISENSE,HISENSE-WM-WFH8012DS,2,,,8,1200,0
ماشین لباسشویی,HYUNDAI,HYUNDAI-WM-HWM-7212S,1,2,16,7,1200,0
ماشین لباسشویی,HYUNDAI,HYUNDAI-WM-HWM-9418W,1,,18,9,1400,0
ماشین لباسشویی,INDESIT,INDESIT-WM-BWE-91683XWUK,2,,16,9,1600,0
ماشین لباسشویی,KENWOOD,KENWOOD-WM-KWM-8260,8,,,8,1400,0
ماشین لباسشویی,LEOCO,LEOCO-WM-PRIME-LWM716S,1,2,,7,1200,0
ماشین لباسشویی,MAGICWASH,MAGICWASH-WM-WM601000,1,2,16,6,1000,0
ماشین لباسشویی,MIDEA,MIDEA-WM-WU-24802,1,,,8,1400,0
ماشین لباسشویی,PAKSHOMA,PAKSHOMA-WM-UWF-20801,2,,15,8,1200,0
ماشین لباسشویی,PAKSHOMA,PAKSHOMA-WM-BWF-40801,2,,16,8,1400,0
ماشین لباسشویی,PARS KHAZAR,PARS KHAZAR-WM-8514S,1,2,,8,1400,0
ماشین لباسشویی,SAM,SAM-WM-Q1435W,1,,,8,1400,0
ماشین لباسشویی,SAM,SAM-WM-BL-P1485,1,2,,9,1400,0
ماشین لباسشویی,SNOWA,SNOWA-WM-SWM-A70W,1,,15,7,1000,0
ماشین لباسشویی,SNOWA,SNOWA-WM-SWM-C80W,1,,15,8,1000,0
ماشین لباسشویی,X.VISION,X.VISION-WM-TG72-BW,1,,16,7,1200,0
ماشین لباسشویی,X.VISION,X.VISION-WM-TF94-AWBL,1,,15,9,1400,0
ماشین لباسشویی,BOSCH,BOSCH-WM-WAG24400ME,1,,14,9,1400,1
ماشین لباسشویی,BOSCH,BOSCH-WM-WGA2440XME,1,,14,9,1400,1
ماشین لباسشویی,DAEWOO ,DAEWOO -WM-SE991S,1,1,14,9,1400,1
ماشین لباسشویی,GPLUS,GPLUS-WM-GWM-L880W,1,1,,8,1400,1
ماشین لباسشویی,LG,LG-WM-F4J6TNP0W,,1,14,8,1400,1
