category,brand,model,link,engine,domain,att1,att2,att3,att4,att5,repeat
ساید بای ساید,DAEWOO,DAEWOO-SBS-DS-3020MW,https://www.digikala.com/product/dkp-11311821/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%88-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-29-%D9%81%D9%88%D8%AA-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-ds-3020mw, ,digikala.com,29,440,244,4,3,False
ساید بای ساید,DAEWOO,DAEWOO-SBS-DS-3320MW,https://www.digikala.com/product/dkp-4509924/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%88-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-32-%D9%81%D9%88%D8%AA-%D8%AF%D9%88%D9%88-%D9%85%D8%AF%D9%84-ds-3320mw,yahoo.com,digikala.com,32,440,244,4,3,False
ساید بای ساید,GPLUS,GPLUS-SBS-GSS-P7535 S,https://www.digikala.com/product/dkp-15985292/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%88-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-28-%D9%81%D9%88%D8%AA-%D8%AC%DB%8C-%D9%BE%D9%84%D8%A7%D8%B3-%D9%85%D8%AF%D9%84-gss-p7535s,yahoo.com,digikala.com,28,332,175,4,4,False
ساید بای ساید,GPLUS,GPLUS-SBS-GSS-M7525BS,https://www.entekhabcenter.com/product/gss-m7525bs-side-by-side-g-plus-28-feet,yahoo.com,entekhabcenter.com,28,,,4,4,True
ساید بای ساید,LG,LG-SBS-GC-J257SMKC,https://www.sallambabaa.com/SBP-7295/lg,bing.com,sallambabaa.com,24,424,250,4,4,False
ساید بای ساید,LG,LG-SBS-GRJ257CLAV,https://www.sallambabaa.com/SBP-6633/lg,yahoo.com,sallambabaa.com,24,,,4,5,True
ساید بای ساید,PAKSHOMA,PAKSHOMA-SBS-P-340W,https://www.digikala.com/product/dkp-9654911/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%88-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-32-%D9%81%D9%88%D8%AA-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-p-340,yahoo.com,digikala.com,32,487,170,4,3,False
ساید بای ساید,PAKSHOMA,PAKSHOMA-SBS-P340,https://www.digikala.com/product/dkp-9654911/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%88-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-32-%D9%81%D9%88%D8%AA-%D9%BE%D8%A7%DA%A9%D8%B4%D9%88%D9%85%D8%A7-%D9%85%D8%AF%D9%84-p-340,yahoo.com,digikala.com,32,487,170,4,3,False
ساید بای ساید,SAM,SAM-SBS-ROSSO-3S,https://www.digikala.com/product/dkp-11019852/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D9%88-%D9%81%D8%B1%DB%8C%D8%B2%D8%B1-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-32-%D9%81%D9%88%D8%AA-%D8%B3%D8%A7%D9%85-%D9%85%D8%AF%D9%84-rosso-3s,yahoo.com,digikala.com,32,500,232,4,4,False
ساید بای ساید,SAM,SAM-SBS-ROMANO-S,https://torob.com/p/f5bdab84-ea1a-4d19-8de5-ced3742b8a2d/%DB%8C%D8%AE%DA%86%D8%A7%D9%84-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%A8%D8%A7%DB%8C-%D8%B3%D8%A7%DB%8C%D8%AF-%D8%B3%D8%A7%D9%85-%D9%85%D8%AF%D9%84-%D8%B1%D9%88%D9%85%D8%A7%D9%86%D9%88-romano/,bing.com,torob.com,30,435,255,3,3,False
